node_id,layer,community
Crystal City,2025-09-23 00:00:00,4
Deanwood,2025-09-23 00:00:00,1
Downtown Largo,2025-09-23 00:00:00,1
Dunn Loring-Merrifield,2025-09-23 00:00:00,1
Dupont Circle,2025-09-23 00:00:00,2
East Falls Church,2025-09-23 00:00:00,1
Eastern Market,2025-09-23 00:00:00,1
Eisenhower Ave,2025-09-23 00:00:00,4
Farragut North,2025-09-23 00:00:00,2
Farragut West,2025-09-23 00:00:00,1
Federal Center SW,2025-09-23 00:00:00,1
Federal Triangle,2025-09-23 00:00:00,1
Foggy Bottom-GWU,2025-09-23 00:00:00,1
Forest Glen,2025-09-23 00:00:00,2
Fort Totten,2025-09-23 00:00:00,2
Franconia-Springfield,2025-09-23 00:00:00,4
Friendship Heights,2025-09-23 00:00:00,2
Gallery Pl-Chinatown,2025-09-23 00:00:00,4
Georgia Ave-Petworth,2025-09-23 00:00:00,4
Glenmont,2025-09-23 00:00:00,2
Greenbelt,2025-09-23 00:00:00,4
Greensboro,2025-09-23 00:00:00,1
Grosvenor-Strathmore,2025-09-23 00:00:00,2
Herndon,2025-09-23 00:00:00,1
Huntington,2025-09-23 00:00:00,4
Hyattsville Crossing,2025-09-23 00:00:00,4
Innovation Center,2025-09-23 00:00:00,1
Judiciary Square,2025-09-23 00:00:00,2
King St-Old Town,2025-09-23 00:00:00,4
L'Enfant Plaza,2025-09-23 00:00:00,4
Landover,2025-09-23 00:00:00,1
Loudoun Gateway,2025-09-23 00:00:00,1
McLean,2025-09-23 00:00:00,1
McPherson Sq,2025-09-23 00:00:00,1
Medical Center,2025-09-23 00:00:00,2
Metro Center,2025-09-23 00:00:00,2
Minnesota Ave,2025-09-23 00:00:00,1
Morgan Boulevard,2025-09-23 00:00:00,1
Mt Vernon Sq 7th St-Convention Center,2025-09-23 00:00:00,4
Navy Yard-Ballpark,2025-09-23 00:00:00,4
Naylor Road,2025-09-23 00:00:00,4
New Carrollton,2025-09-23 00:00:00,1
NoMa-Gallaudet U,2025-09-23 00:00:00,2
North Bethesda,2025-09-23 00:00:00,2
Pentagon,2025-09-23 00:00:00,4
Pentagon City,2025-09-23 00:00:00,4
Potomac Ave,2025-09-23 00:00:00,1
Potomac Yard,2025-09-23 00:00:00,4
